    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
165 ;56    ;4                ;['Manu']               ;111           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;578  ;720      ;739
166 ;56    ;4                ;['Manu']               ;112           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;574  ;720      ;739
167 ;56    ;4                ;['Manu']               ;113           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;570  ;720      ;739
168 ;56    ;4                ;['Manu']               ;114           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;566  ;720      ;739
169 ;56    ;4                ;['Manu']               ;115           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;562  ;720      ;739
170 ;56    ;4                ;['Manu']               ;116           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;558  ;720      ;739
171 ;56    ;4                ;['Manu']               ;117           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;554  ;720      ;739
172 ;56    ;4                ;['Manu']               ;118           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;550  ;720      ;739
173 ;56    ;4                ;['Manu']               ;119           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;546  ;720      ;739
174 ;56    ;4                ;['Manu']               ;120           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;542  ;720      ;739
175 ;56    ;4                ;['Manu']               ;121           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;538  ;720      ;739
176 ;56    ;4                ;['Manu']               ;122           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;534  ;720      ;739
177 ;56    ;4                ;['Manu']               ;123           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;530  ;720      ;739
178 ;56    ;4                ;['Manu']               ;124           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;526  ;720      ;739
179 ;56    ;4                ;['Manu']               ;125           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;522  ;720      ;739
180 ;56    ;4                ;['Manu']               ;126           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;518  ;720      ;739
181 ;56    ;4                ;['Manu']               ;127           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;514  ;720      ;739
182 ;56    ;4                ;['Manu']               ;128           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;510  ;720      ;739
183 ;56    ;4                ;['Manu']               ;129           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;506  ;720      ;739
184 ;56    ;4                ;['Manu']               ;130           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;502  ;720      ;739
185 ;56    ;4                ;['Manu']               ;131           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;498  ;720      ;739
